"繁對簡",,,
"钉","9489","釘","91D8"
"顶","9876","頂","9802"
"锭","952D","錠","9320"
"订","8BA2","訂","8A02"
"丢","4E22","丟","4E1F"
"东","4E1C","東","6771"
"动","52A8","動","52D5"
"栋","680B","棟","68DF"
"冻","51BB","凍","51CD"
"斗","6597","鬥","9B25"
"犊","728A","犢","72A2"
"独","72EC","獨","7368"
"读","8BFB","讀","8B80"
"赌","8D4C","賭","8CED"
"镀","9540","鍍","934D"
"锻","953B","鍛","935B"
"断","65AD","斷","65B7"
"缎","7F0E","緞","7DDE"
"兑","5151","兌","514C"
"队","961F","隊","968A"
"对","5BF9","對","5C0D"
"吨","5428","噸","5678"
"顿","987F","頓","9813"
"钝","949D","鈍","920D"
"夺","593A","奪","596A"
"堕","5815","墮","58AE"
"鹅","9E45","鵝","9D5D"
"额","989D","額","984D"
"讹","8BB9","訛","8A1B"
"恶","6076","惡","60E1"
"饿","997F","餓","9913"
"儿","513F","兒","5152"
"尔","5C14","爾","723E"
"饵","9975","餌","990C"
"贰","8D30","貳","8CB3"
"发","53D1","發","767C"
"罚","7F5A","罰","7F70"
"阀","9600","閥","95A5"
"珐","73D0","琺","743A"
"矾","77FE","礬","792C"
"钒","9492","釩","91E9"
"烦","70E6","煩","7169"
"范","8303","範","7BC4"
"贩","8D29","販","8CA9"
"饭","996D","飯","98EF"
"访","8BBF","訪","8A2A"
"纺","7EBA","紡","7D21"
"飞","98DE","飛","98DB"
"诽","8BFD","誹","8AB9"
"废","5E9F","廢","5EE2"
"费","8D39","費","8CBB"
"纷","7EB7","紛","7D1B"
"坟","575F","墳","58B3"
"奋","594B","奮","596E"
"愤","6124","憤","61A4"
"粪","7CAA","糞","7CDE"
"丰","4E30","豐","8C50"
"枫","67AB","楓","6953"
"锋","950B","鋒","92D2"
"风","98CE","風","98A8"
"疯","75AF","瘋","760B"
"冯","51AF","馮","99AE"
"缝","7F1D","縫","7E2B"
"讽","8BBD","諷","8AF7"
"凤","51E4","鳳","9CF3"
"肤","80A4","膚","819A"
"辐","8F90","輻","8F3B"
"抚","629A","撫","64AB"
"辅","8F85","輔","8F14"
"赋","8D4B","賦","8CE6"
"复","590D","複","8907"
"负","8D1F","負","8CA0"
"讣","8BA3","訃","8A03"
"妇","5987","婦","5A66"
"缚","7F1A","縛","7E1B"
"该","8BE5","該","8A72"
"钙","9499","鈣","9223"
"盖","76D6","蓋","84CB"
"干","5E72","幹","5E79"
"赶","8D76","趕","8D95"
"秆","79C6","稈","7A08"
"赣","8D63","贛","8D1B"
"冈","5188","岡","5CA1"
"刚","521A","剛","525B"
"钢","94A2","鋼","92FC"
"纲","7EB2","綱","7DB1"
"岗","5C97","崗","5D17"
"镐","9550","鎬","93AC"
"搁","6401","擱","64F1"
"鸽","9E3D","鴿","9D3F"
"阁","9601","閣","95A3"
"铬","94EC","鉻","927B"
"个","4E2A","個","500B"
"给","7ED9","給","7D66"
"龚","9F9A","龔","9F94"
"宫","5BAB","宮","5BAE"
"巩","5DE9","鞏","978F"
"贡","8D21","貢","8CA2"
"钩","94A9","鉤","9264"
"沟","6C9F","溝","6E9D"
"构","6784","構","69CB"
"购","8D2D","購","8CFC"
"够","591F","夠","5920"
"蛊","86CA","蠱","8831"
"顾","987E","顧","9867"
"剐","5250","剮","526E"
"挂","6302","掛","639B"
"关","5173","關","95DC"
"观","89C2","觀","89C0"
"馆","9986","館","9928"
"惯","60EF","慣","6163"
"贯","8D2F","貫","8CAB"
"广","5E7F","廣","5EE3"
"规","89C4","規","898F"
"硅","7845","矽","77FD"
"归","5F52","歸","6B78"
"龟","9F9F","龜","9F9C"
"闺","95FA","閨","95A8"
"轨","8F68","軌","8ECC"
"诡","8BE1","詭","8A6D"
"柜","67DC","櫃","6AC3"
"贵","8D35","貴","8CB4"
"刽","523D","劊","528A"
"辊","8F8A","輥","8F25"
"滚","6EDA","滾","6EFE"
"锅","9505","鍋","934B"
"国","56FD","國","570B"
"过","8FC7","過","904E"
"骇","9A87","駭","99ED"
"韩","97E9","韓","97D3"
"汉","6C49","漢","6F22"
"号","53F7","號","865F"
"阂","9602","閡","95A1"
"鹤","9E64","鶴","9DB4"
"贺","8D3A","賀","8CC0"
"横","6A2A","橫","6A6B"
"轰","8F70","轟","8F5F"
"鸿","9E3F","鴻","9D3B"
"红","7EA2","紅","7D05"
"后","540E","後","5F8C"
